Date,Price,Open,High,Low,Vol.,Change %
04/06/2023,87.2,82.7,87.8,82.65,10.59M,5.83%
04/05/2023,82.4,82.5,83.33,81.03,4.57M,-0.12%
04/04/2023,82.5,83.3,83.3,80.9,2.77M,-1.14%
04/03/2023,83.45,84.22,84.49,83,1.51M,0.85%
03/31/2023,82.75,84,84.28,82.65,2.44M,-1.43%
03/30/2023,83.95,84.49,85.7,83.65,3.34M,-0.12%
03/29/2023,84.05,84.89,84.89,83.52,999.99K,-0.65%
03/28/2023,84.6,84.81,85.48,84.4,1.06M,-0.47%
03/27/2023,85,85.08,85.8,84,748.71K,0.29%
03/24/2023,84.75,85.81,86,84.5,574.97K,-1.34%
03/22/2023,85.9,87.45,88.7,85.8,1.73M,-2.52%
03/21/2023,88.12,87,88.82,86.4,3.62M,1.23%
03/20/2023,87.05,89.51,89.51,86.31,3.77M,-2.93%
03/17/2023,89.68,90.4,90.4,88.5,4.21M,-0.46%
03/16/2023,90.09,92.05,92.4,89.72,3.08M,-1.92%
03/15/2023,91.85,91.59,92.75,91,4.39M,0.21%
03/14/2023,91.66,92.8,93,90.56,8.70M,-1.28%
03/13/2023,92.85,89.25,93.39,89.25,18.46M,6.75%
03/10/2023,86.98,87.59,87.74,86.69,1.84M,-0.48%
03/09/2023,87.4,86.8,87.48,86.15,2.50M,0.81%
03/08/2023,86.7,84.99,87.7,84.9,6.36M,2.12%
03/07/2023,84.9,87.2,87.35,84.8,3.64M,-2.13%
03/06/2023,86.75,86.84,89.85,85.87,8.79M,-1.55%
03/03/2023,88.12,80.86,88.19,80.86,13.42M,7.33%
03/02/2023,82.1,80.1,83,80,4.21M,1.67%
03/01/2023,80.75,82.01,82.02,79.4,6.09M,-1.52%
02/28/2023,82,85.6,86.49,81.93,5.33M,-4.16%
02/27/2023,85.56,87.2,88.2,85.5,2.25M,-2.40%
02/24/2023,87.66,88.85,89.47,87.31,5.21M,-0.44%
02/23/2023,88.05,90.4,90.4,87.86,5.53M,-2.81%
02/22/2023,90.6,91.24,91.85,88.61,10.39M,-0.46%
02/21/2023,91.02,90.67,91.7,90.1,3.21M,2.11%
02/20/2023,89.14,94.38,94.5,89,5.38M,-5.75%
02/17/2023,94.58,93.06,94.99,93.01,4.77M,1.59%
02/16/2023,93.1,96.2,96.9,93,6.69M,-2.96%
02/15/2023,95.94,93.49,96.5,92.32,7.17M,2.06%
02/14/2023,94,99.99,99.99,93.02,12.75M,-4.95%
02/13/2023,98.9,100,100.5,97.3,15.13M,-2.14%
02/10/2023,101.06,102,109.6,99.51,38.73M,-5.78%
02/09/2023,107.26,102,107.26,100.7,18.22M,6.74%
02/08/2023,100.49,98,100.89,95.3,22.26M,1.20%
02/07/2023,99.3,99.3,99.3,97.53,16.11M,7.49%
02/06/2023,92.38,92.38,92.38,91.21,10.55M,7.49%
02/03/2023,85.94,87.39,87.4,85.27,1.26M,-1.44%
02/02/2023,87.2,86.73,87.3,84.9,5.16M,0.10%
02/01/2023,87.11,88,89.3,86.9,5.23M,-0.94%
01/31/2023,87.94,86.4,88.24,85.55,4.51M,2.09%
01/30/2023,86.14,87.3,88.47,86,5.02M,-0.58%
01/27/2023,86.64,86.45,87.5,84.9,4.69M,0.73%
01/26/2023,86.01,86.41,87.15,84,5.70M,0.07%
01/25/2023,85.95,86,87.25,85.3,5.62M,1.60%
01/24/2023,84.6,81.72,85.44,81.72,7.62M,3.36%
01/23/2023,81.85,80,82.22,79.51,3.79M,3.27%
01/20/2023,79.26,79.7,80.8,78.3,3.45M,0.08%
01/19/2023,79.2,76.59,80.43,76.59,11.00M,3.54%
01/18/2023,76.49,74.5,76.84,74.3,5.72M,3.36%
01/17/2023,74,79.62,80.2,73.16,5.11M,-6.45%
01/16/2023,79.1,81.97,81.97,78.25,4.07M,-3.58%
01/13/2023,82.04,85.9,85.9,81.6,6.50M,-5.70%
01/12/2023,87,87.99,89.2,86.32,5.55M,-1.24%
01/11/2023,88.09,85.45,88.14,84.8,12.92M,4.43%
01/10/2023,84.35,88,88,83.09,4.54M,-0.47%
01/09/2023,84.75,82.29,85.9,82.01,9.56M,2.96%
01/06/2023,82.31,80,83,79.4,6.02M,2.89%
01/05/2023,80,79,80.5,78.9,3.59M,2.12%
01/04/2023,78.34,80.08,80.9,78.3,2.28M,-2.14%
01/03/2023,80.05,80.5,80.9,79.52,1.86M,0.05%
01/02/2023,80.01,79.1,82.65,79.01,7.75M,0.44%
12/30/2022,79.66,76.46,81.68,76.46,10.29M,4.46%
12/29/2022,76.26,75.85,77,75.21,3.60M,1.01%
12/28/2022,75.5,74.13,75.9,74,2.68M,0.67%
12/27/2022,75,76.89,77.35,74.85,2.59M,-2.39%
12/26/2022,76.84,73.7,77.05,73.5,7.70M,5.53%
12/23/2022,72.81,72,73.49,71.81,2.68M,0.57%
12/22/2022,72.4,70.5,73.5,70.5,3.72M,4.10%
12/21/2022,69.55,69.6,70.75,69.5,935.39K,-0.53%
12/20/2022,69.92,71.99,72.19,69,1.99M,-2.41%
12/19/2022,71.65,72.38,73.1,71.6,1.17M,-1.10%
12/16/2022,72.45,72.37,72.74,71.2,753.47K,0.62%
12/15/2022,72,73,73.2,71.1,2.10M,-1.45%
12/14/2022,73.06,71.31,73.6,71.06,3.10M,2.32%
12/13/2022,71.4,72.1,72.5,71.4,709.84K,-0.83%
12/12/2022,72,72.15,72.7,71.9,1.48M,0.13%
12/09/2022,71.91,71.35,73.4,71.08,3.44M,1.11%
12/08/2022,71.12,71.45,71.5,71,1.40M,0.14%
